model_name,representation,subset,domain_shift_gap,mlm_loss,mlm_loss_derived_exponential,top1_acc,top5_acc,top10_acc,rare_top1_acc,performance_gap,nav_acc,weather_acc,safety_acc,machinery_acc,vessel_acc,casualty_acc,eval_time_sec
allenai/scibert_scivocab_uncased,mixed,low_knowledge,-0.04523973017732358,3.6705096612596297,39.271916134885856,0.4136607828089025,0.5448963929393706,0.612432847275518,0.6974789915966386,0.13339480332208264,0.7343,0.2619,0.4,0.5,0.3864,0.2273,5.721687316894531
allenai/scibert_scivocab_uncased,mixed,medium_knowledge,-0.10231849720764935,3.150734180748615,23.3532037611647,0.4707395498392283,0.6192926045016077,0.6758842443729903,0.8560606060606061,0.08034478751016927,0.7475,0.2231,0.3333,0.5882,0.4702,0.4894,6.529523849487305
allenai/scibert_scivocab_uncased,mixed,random_baseline,-0.08393043251693594,3.2480989743119673,25.7413583908285,0.45235148514851486,0.5878712871287128,0.6503712871287128,0.7906976744186046,0.10955088022642223,0.7377,0.2357,0.8571,0.3636,0.4227,0.3929,6.2133097648620605
allenai/scibert_scivocab_uncased,narrative,balanced_knowledge,0.05293624800060931,4.175210988871799,65.05356379117752,0.3154848046309696,0.5036179450072359,0.5672937771345875,0.24210526315789474,0.05887852304305413,0.3542,0.4638,0.0,0.3333,0.3061,0.35,2.5571908950805664
allenai/scibert_scivocab_uncased,narrative,high_knowledge,0.046211616498092134,3.9500802990828263,51.939537364597136,0.3222094361334868,0.5362485615650172,0.619102416570771,0.24770642201834864,0.06783514038954441,0.3583,0.3714,0.0,0.0,0.3051,0.55,3.5935940742492676
allenai/scibert_scivocab_uncased,narrative,low_knowledge,0.05277118525757363,4.406695405052653,81.99804496195507,0.3156498673740053,0.48010610079575594,0.5437665782493368,0.525,0.05023393979533958,0.5,0.2963,0.0,0.0,0.3034,0.4,2.0689821243286133
allenai/scibert_scivocab_uncased,narrative,medium_knowledge,0.04935490477165677,4.233468942401943,68.9560222292949,0.31906614785992216,0.4766536964980545,0.5583657587548638,0.5833333333333334,0.06529867298698339,0.5588,0.2239,0.0,0.1818,0.314,0.8333,2.2697067260742188
allenai/scibert_scivocab_uncased,narrative,random_baseline,0.06262140412542777,4.163447967349504,64.29282041246914,0.30579964850615116,0.4991212653778559,0.5676625659050967,0.38461538461538464,0.06920035149384884,0.4342,0.2364,0.0,0.0,0.2963,0.5455,2.5602924823760986
allenai/scibert_scivocab_uncased,template,balanced_knowledge,0.05237567175637631,4.267417350244091,71.33715860674032,0.3160453808752026,0.49432739059967584,0.5786061588330632,0.5909090909090909,0.03996256351407246,0.4909,0.3667,0.1,0.1111,0.3285,0.2083,2.4042510986328125
allenai/scibert_scivocab_uncased,template,high_knowledge,0.014529716361388056,3.927317192490746,50.77058708388574,0.35389133627019087,0.540381791483113,0.6123348017621145,0.5434782608695652,0.022765136716557333,0.4655,0.3824,0.2667,0.0,0.3641,0.2037,2.838092565536499
allenai/scibert_scivocab_uncased,template,low_knowledge,0.020809849995664598,3.718780269072072,41.214093333835876,0.34761120263591433,0.5469522240527183,0.6128500823723229,0.5625,0.012949454686463635,0.507,0.2667,0.1429,0.0,0.353,0.0,2.366950273513794
allenai/scibert_scivocab_uncased,template,medium_knowledge,-0.014677538917716837,3.583907522106366,36.01399172971186,0.38309859154929576,0.5788732394366197,0.6464788732394366,0.6595744680851063,0.012715785156800663,0.5893,0.3191,0.1176,0.3333,0.3924,0.2759,3.218371868133545
allenai/scibert_scivocab_uncased,template,random_baseline,-0.005466187724504135,3.6511526432537176,38.51903918157572,0.37388724035608306,0.5652818991097923,0.642433234421365,0.5151515151515151,0.008760703475411413,0.4186,0.3846,0.3636,0.1333,0.3795,0.2609,2.429021120071411
answerdotai/ModernBERT-base,json,balanced_knowledge,-0.1438144329896907,2.355998328852362,10.54865463300439,0.5938144329896907,0.7237113402061855,0.7628865979381443,0.6923076923076923,0.13295998724924107,0.6923,0.0,0.5345,0.0,0.599,0.9032,10.261691808700562
answerdotai/ModernBERT-base,json,high_knowledge,-0.14704641350210973,2.351073723170466,10.496834370369836,0.5970464135021097,0.7172995780590717,0.7531645569620253,0.625,0.12593983404209463,0.625,0.0,0.5818,0.0,0.602,0.8889,10.18198561668396
answerdotai/ModernBERT-base,json,low_knowledge,-0.20297741273100617,2.112659507351129,8.270206738653473,0.6529774127310062,0.7515400410677618,0.7926078028747433,0.8461538461538461,0.05628731382600216,0.8462,0.0,0.6154,0.0,0.6599,0.7273,10.014298677444458
answerdotai/ModernBERT-base,json,medium_knowledge,-0.15792951541850214,2.284785672682127,9.82358053670393,0.6079295154185022,0.7422907488986784,0.7951541850220264,0.8214285714285714,0.12156950501250818,0.8214,0.0,0.5306,0.0,0.6075,0.7778,9.519619464874268
answerdotai/ModernBERT-base,json,random_baseline,-0.13458244111349033,2.37208013807126,10.719667496791384,0.5845824411134903,0.721627408993576,0.7580299785867237,0.6956521739130435,0.1330679163798505,0.6957,0.0,0.5522,0.0,0.5867,0.8065,10.01006293296814
answerdotai/ModernBERT-base,key_value,balanced_knowledge,-0.42108013937282224,0.7581749369136239,2.1343772904771727,0.8710801393728222,0.9163763066202091,0.9198606271777003,0.8823529411764706,-0.3233872351463779,0.5833,0.0,1.0,0.0,0.9306,0.7742,7.949964284896851
answerdotai/ModernBERT-base,key_value,high_knowledge,-0.4016129032258064,0.8843302475298069,2.421362135019892,0.8516129032258064,0.8903225806451613,0.9,0.7647058823529411,-0.27485614646904966,0.5781,0.0,0.0,0.0,0.9458,0.8511,8.7671058177948
answerdotai/ModernBERT-base,key_value,low_knowledge,-0.4199551569506726,0.7744867641660443,2.1694783873529127,0.8699551569506726,0.9237668161434978,0.9237668161434978,0.5714285714285714,-0.350276966039605,0.2222,0.0,0.0,0.0,0.95,0.7941,7.081888914108276
answerdotai/ModernBERT-base,key_value,medium_knowledge,-0.42867647058823527,0.7211702335642388,2.0568387846096425,0.8786764705882353,0.9117647058823529,0.9227941176470589,0.75,-0.2942779743476338,0.2727,0.0,0.0,0.0,0.9365,0.7609,8.212918996810913
