model_name,representation,subset,domain_shift_gap,mlm_loss,top1_acc,top5_acc,top10_acc,rare_top1_acc,performance_gap,nav_acc,weather_acc,safety_acc,machinery_acc,vessel_acc,casualty_acc,eval_time_sec
bert-base-uncased,key_value,medium_knowledge,0.1455879842976617,5.028573682106407,0.23536439665471923,0.37992831541218636,0.47192353643966545,0.45161290322580644,0.1691909178789033,0.2824,0.1507,0.2857,0.2727,0.2429,0.375,59.013031244277954
bert-base-uncased,key_value,random_baseline,0.09672001580715273,4.568203788218019,0.2842323651452282,0.44813278008298757,0.5373443983402489,0.6444444444444445,0.15529565845359183,0.3713,0.1176,0.3636,0.4,0.2869,0.4074,64.04054856300354
bert-base-uncased,mixed,balanced_knowledge,-0.02395989974937346,3.8579041856047653,0.4049122807017544,0.5431578947368421,0.6119298245614035,0.7461538461538462,0.11413291990769198,0.6086,0.2385,0.5556,0.5714,0.3657,0.5957,38.2259738445282
bert-base-uncased,mixed,high_knowledge,-0.07403943574156341,3.5289791257106695,0.45499181669394434,0.591380250954719,0.6584833606110202,0.7739463601532567,0.07262351793893412,0.6453,0.2791,0.75,0.4,0.3945,0.65,58.86387014389038
bert-base-uncased,mixed,low_knowledge,0.05902079141515759,4.722385242136837,0.32193158953722334,0.44366197183098594,0.5070422535211268,0.6440677966101694,0.17505998687673574,0.5845,0.1837,0.3333,0.4286,0.2907,0.5,24.989965677261353
bert-base-uncased,mixed,medium_knowledge,0.05011904761904762,4.415495260724149,0.3308333333333333,0.4816666666666667,0.5625,0.5882352941176471,0.15069736026220215,0.5259,0.1782,0.5714,0.5517,0.321,0.3143,27.337428092956543
bert-base-uncased,mixed,random_baseline,-0.002785136879288108,4.044827411153647,0.38373751783166904,0.5156918687589158,0.5834522111269614,0.6470588235294118,0.12615857321236862,0.54,0.1667,0.5,0.5789,0.3598,0.5319,59.28698801994324
bert-base-uncased,narrative,balanced_knowledge,0.030765115034777912,4.058640805994663,0.350187265917603,0.5730337078651685,0.6254681647940075,0.696969696969697,0.0361055689733627,0.4302,0.4,0.6667,0.0,0.339,0.8889,33.41324758529663
bert-base-uncased,narrative,high_knowledge,-0.06933333333333336,3.3906859848212085,0.4502857142857143,0.6411428571428571,0.7108571428571429,0.75625,-0.050722395508421725,0.5335,0.3444,0.75,0.625,0.4397,0.8158,42.68080687522888
bert-base-uncased,narrative,low_knowledge,0.09628084810566562,5.0624991204127765,0.2846715328467153,0.4416058394160584,0.48175182481751827,0.5454545454545454,0.09677176612235683,0.2973,0.6154,1.0,0.1429,0.2611,0.5714,30.16880488395691
bert-base-uncased,narrative,medium_knowledge,0.08635778635778635,4.647838860518626,0.2945945945945946,0.46756756756756757,0.5378378378378378,0.4090909090909091,0.11487286102670718,0.3019,0.3125,0.0,0.5714,0.2982,0.4444,28.484636783599854
bert-base-uncased,narrative,random_baseline,0.02380952380952378,4.243676822497457,0.35714285714285715,0.5462184873949579,0.5966386554621849,0.6578947368421053,0.024927580423845075,0.4386,0.3649,0.8,0.2222,0.341,0.6923,36.16030263900757
bert-base-uncased,template,balanced_knowledge,0.08890062494498724,3.885293114887852,0.2920517560073937,0.5397412199630314,0.6284658040665434,0.28,0.04553411249113426,0.2791,0.3953,0.5,0.0,0.2879,0.2558,14.477073669433594
bert-base-uncased,template,high_knowledge,0.08879551820728288,4.002263810413185,0.29215686274509806,0.5352941176470588,0.6196078431372549,0.25806451612903225,0.07433249895702959,0.2857,0.2703,0.3,0.75,0.2888,0.3594,37.40800070762634
bert-base-uncased,template,low_knowledge,0.07257448433919023,3.8556807619229425,0.3083778966131907,0.5401069518716578,0.6452762923351159,0.19230769230769232,-0.006148762346731396,0.175,0.4792,0.375,0.0,0.308,0.15,13.295424938201904
bert-base-uncased,template,medium_knowledge,0.09256286784376672,4.090285646073552,0.2883895131086142,0.5318352059925093,0.6086142322097379,0.25,0.05596846354508228,0.1818,0.4286,0.4,0.4,0.293,0.2059,19.715739250183105
bert-base-uncased,template,random_baseline,0.0674672671170044,3.844975715877216,0.3134851138353765,0.5604203152364273,0.637478108581436,0.42857142857142855,0.023148549530960127,0.3514,0.4286,0.6667,0.2222,0.3104,0.2895,22.0512375831604
dmis-lab/biobert-base-cased-v1.2,json,balanced_knowledge,0.37401129943502825,6.486820542649826,0.09265536723163842,0.2598870056497175,0.3367231638418079,0.029585798816568046,0.6239792054242643,0.0536,0.0741,0.0,0.0,0.1223,0.1154,99.55024838447571
dmis-lab/biobert-base-cased-v1.2,json,high_knowledge,0.400891861761427,6.811657820889517,0.06577480490523968,0.22408026755852842,0.2853957636566332,0.03225806451612903,0.6573663067025683,0.0425,0.0,0.05,0.0,0.0825,0.1196,28.405162572860718
dmis-lab/biobert-base-cased-v1.2,json,low_knowledge,0.38475540386803186,6.508871362430168,0.08191126279863481,0.2525597269624573,0.3083048919226394,0.012048192771084338,0.627045065846813,0.0357,0.0227,0.0233,0.0,0.1115,0.0822,98.73120594024658
dmis-lab/biobert-base-cased-v1.2,json,medium_knowledge,0.3561755952380953,6.381106148938345,0.11049107142857142,0.2700892857142857,0.33816964285714285,0.03067484662576687,0.612651870270156,0.0306,0.0769,0.02,0.0,0.1569,0.0667,58.85246753692627
dmis-lab/biobert-base-cased-v1.2,json,random_baseline,0.3801282051282051,6.403427419716863,0.08653846153846154,0.26495726495726496,0.3482905982905983,0.015306122448979591,0.6279387502577851,0.0207,0.0,0.0,0.0,0.1264,0.1429,82.143878698349
dmis-lab/biobert-base-cased-v1.2,key_value,balanced_knowledge,0.21331228624046306,4.919066201010436,0.2533543804262036,0.35674822415153906,0.4214680347277032,0.3686868686868687,0.05700215607634307,0.3464,0.0241,0.3103,0.0,0.2536,0.0638,23.32223105430603
dmis-lab/biobert-base-cased-v1.2,key_value,high_knowledge,0.2174416201694565,4.773311232544998,0.24922504649721017,0.3806571605703658,0.4519528828270304,0.3952702702702703,0.09364148867701733,0.355,0.0306,0.3929,0.0,0.25,0.0328,23.827892303466797
dmis-lab/biobert-base-cased-v1.2,key_value,low_knowledge,0.3093277015135516,5.654417022745545,0.1573389651531151,0.2692713833157339,0.31573389651531153,0.16346153846153846,0.10569326723844877,0.1717,0.0513,0.3,0.15,0.1615,0.0,19.550683975219727
dmis-lab/biobert-base-cased-v1.2,key_value,medium_knowledge,0.268981893737014,5.212539603119151,0.19768477292965272,0.3259127337488869,0.39180765805877116,0.20422535211267606,0.08802951278463297,0.1858,0.1711,0.2222,0.2353,0.2059,0.0333,20.593600511550903
dmis-lab/biobert-base-cased-v1.2,key_value,random_baseline,0.22184701969813253,4.863366876082138,0.24481964696853414,0.3737528779739064,0.4405218726016884,0.28484848484848485,0.07086466871578156,0.2987,0.1081,0.3214,0.2105,0.2417,0.0811,67.84187269210815
dmis-lab/biobert-base-cased-v1.2,mixed,balanced_knowledge,0.042735968236780386,3.8243689471408024,0.4239306984298863,0.5175961017866811,0.5690308608554413,0.6048951048951049,0.010629628768477728,0.5876,0.2174,0.6087,0.5556,0.4019,0.2969,49.34302735328674
dmis-lab/biobert-base-cased-v1.2,mixed,high_knowledge,0.02601693738719979,3.6263938435789616,0.4406497292794669,0.5368596418159101,0.5947521865889213,0.6067415730337079,0.029883913411948404,0.5734,0.2011,0.6923,0.4286,0.4219,0.3165,29.63312268257141
dmis-lab/biobert-base-cased-v1.2,mixed,low_knowledge,0.09897435897435897,4.235708324289152,0.3676923076923077,0.4584615384615385,0.51,0.5310344827586206,0.026088480485032206,0.5596,0.2059,0.4,0.2353,0.3438,0.125,81.22487926483154
dmis-lab/biobert-base-cased-v1.2,mixed,medium_knowledge,0.0961114576835101,4.083533938177248,0.3705552089831566,0.48658764815970057,0.5346225826575172,0.4838709677419355,0.04379285430107693,0.4631,0.1933,0.5263,0.52,0.3719,0.2558,91.6596429347992
dmis-lab/biobert-base-cased-v1.2,mixed,random_baseline,0.06106116693107705,3.8696142203763464,0.4056054997355896,0.511369645690111,0.5684822845055526,0.5875912408759124,0.04415882673426896,0.5651,0.1429,0.6,0.5833,0.3954,0.3333,84.30046510696411
dmis-lab/biobert-base-cased-v1.2,narrative,balanced_knowledge,0.2196969696969697,4.755894391095111,0.24696969696969698,0.36818181818181817,0.44242424242424244,0.25,0.06817506917729635,0.2878,0.3333,0.0,0.0,0.1863,0.5,42.327754735946655
dmis-lab/biobert-base-cased-v1.2,narrative,high_knowledge,0.19518586227909812,4.387422390617567,0.27148080438756855,0.4085923217550274,0.5146252285191956,0.3333333333333333,0.06107188882086234,0.3075,0.3182,0.5789,0.0,0.217,0.5484,50.966313123703
dmis-lab/biobert-base-cased-v1.2,narrative,low_knowledge,0.2628099173553719,5.457413418454972,0.20385674931129477,0.29476584022038566,0.3415977961432507,0.275,0.06684388763138038,0.3551,0.3333,0.2,0.1667,0.1403,0.5,31.70029330253601
dmis-lab/biobert-base-cased-v1.2,narrative,medium_knowledge,0.2295343137254902,4.9586422395324705,0.23713235294117646,0.36213235294117646,0.4209558823529412,0.16417910447761194,0.059625751796978155,0.3399,0.2414,0.25,0.0909,0.1825,0.5556,39.96348237991333
dmis-lab/biobert-base-cased-v1.2,narrative,random_baseline,0.24322916666666666,4.864129151712996,0.2234375,0.3625,0.4625,0.2073170731707317,0.10443135245901636,0.2624,0.25,0.4667,0.0,0.19,0.375,39.93080186843872
dmis-lab/biobert-base-cased-v1.2,template,balanced_knowledge,0.20727272727272728,4.359965293633779,0.2593939393939394,0.42787878787878786,0.5272727272727272,0.288,0.005571713206649398,0.2527,0.4444,0.2857,0.1429,0.2636,0.0238,15.583774089813232
